reconstruction,time_res,ensemble_feature_extractors_s,ensemble_feature_extractors_ms
e2vid,0.1,0.06651129243951551,66.5112924395155
e2vid,0.25,0.0748432705518416,74.8432705518416
e2vid,0.5,0.0882344254291124,88.2344254291124
e2vid,1.0,0.19269619275269512,192.6961927526951
eventCount,0.1,0.0602410790940006,60.241079094000604
eventCount,0.25,0.0713059471469259,71.3059471469259
eventCount,0.5,0.0905244110025196,90.5244110025196
eventCount,1.0,0.1353563072822142,135.3563072822142
eventCount_noPolarity,0.1,0.059540688641379604,59.5406886413796
eventCount_noPolarity,0.25,0.0704570935606976,70.4570935606976
eventCount_noPolarity,0.5,0.0885356759613537,88.5356759613537
eventCount_noPolarity,1.0,0.1247865164825583,124.7865164825583
timeSurface,0.1,0.059445074899299004,59.445074899299
timeSurface,0.25,0.06730465112797411,67.30465112797411
timeSurface,0.5,0.07815600064479741,78.15600064479742
timeSurface,1.0,0.102183078270609,102.183078270609
