reconstruction,time_res,mean_qry_frames,ms_per_frame,fps,mean_recon_total_s,throughput_fps_total,total_vs_parts_rel_err_pct
e2vid,0.1,5959.0,14.5112924395155,68.91184945573241,86.47279164707288,68.9118494557324,1.6433903016802908e-14
e2vid,0.25,2383.0,22.8432705518416,43.77656858419431,54.43551372503862,43.776568584194244,1.5663511273522298e-13
e2vid,0.5,1191.0,36.2344254291124,27.598064220898454,43.15520068607293,27.59806422089841,1.4818340594357757e-13
e2vid,1.0,595.0,140.6961927526951,7.1075128646709205,83.7142346878536,7.107512864670919,1.6975434068280274e-14
eventCount,0.1,5959.0,8.2410790940006,121.34333241965692,49.10859032114968,121.34333241965668,2.025633038046554e-13
eventCount,0.25,2383.0,19.3059471469259,51.797510497133565,46.00607205112465,51.7975104971333,4.942253604927651e-13
eventCount,0.5,1191.0,38.5244110025196,25.95756752607061,45.8825735040009,25.957567526070576,1.3937502048099537e-13
eventCount,1.0,595.0,83.3563072822142,11.996692663152206,49.5970028329175,11.996692663152196,1.0028426852881511e-13
eventCount_noPolarity,0.1,5959.0,7.5406886413795995,132.61388283723724,44.93496361398138,132.61388283723622,7.748219037482837e-13
eventCount_noPolarity,0.25,2383.0,18.4570935606976,54.17971126989315,43.98325395514257,54.17971126989291,4.361808674976312e-13
eventCount_noPolarity,0.5,1191.0,36.535675961353704,27.370507693843376,43.51399006997235,27.37050769384332,2.1227783409491345e-13
eventCount_noPolarity,1.0,595.0,72.7865164825583,13.738808344257391,43.3079773071222,13.738808344257386,3.2813480561386e-14
timeSurface,0.1,5959.0,7.445074899299001,134.31698317691286,44.36520132492296,134.3169831769122,4.80473015701795e-13
timeSurface,0.25,2383.0,15.3046511279741,65.33961418906067,36.47098363796249,65.3396141890603,5.649899531526339e-13
timeSurface,0.5,1191.0,26.156000644797402,38.23214464551202,31.151796767953783,38.23214464551193,2.5089949551165154e-13
timeSurface,1.0,595.0,50.183078270609,19.927035854746986,29.858931571012363,19.927035854746983,2.379665642322946e-14
