reconstruction,time_res,feature_extractor,dataset,ref_seq,qry_seq,repeats,mean_recon_total_s,std_recon_total_s,mean_recon_per_frame_s,mean_qry_frames
eventCount,1.0,mixvpr,Brisbane,night,morning,1,49.5970028329175,0.0,0.08335630728221428,595.0
eventCount,1.0,megaloc,Brisbane,night,morning,1,49.5970028329175,0.0,0.08335630728221428,595.0
eventCount,1.0,netvlad,Brisbane,night,morning,1,49.5970028329175,0.0,0.08335630728221428,595.0
eventCount,1.0,cosplace,Brisbane,night,morning,1,49.5970028329175,0.0,0.08335630728221428,595.0
eventCount,0.5,mixvpr,Brisbane,night,morning,1,45.8825735040009,0.0,0.03852441100251965,1191.0
eventCount,0.5,megaloc,Brisbane,night,morning,1,45.8825735040009,0.0,0.03852441100251965,1191.0
eventCount,0.5,netvlad,Brisbane,night,morning,1,45.8825735040009,0.0,0.03852441100251965,1191.0
eventCount,0.5,cosplace,Brisbane,night,morning,1,45.8825735040009,0.0,0.03852441100251965,1191.0
eventCount,0.25,mixvpr,Brisbane,night,morning,1,46.00607205112465,0.0,0.019305947146925996,2383.0
eventCount,0.25,megaloc,Brisbane,night,morning,1,46.00607205112465,0.0,0.019305947146925996,2383.0
eventCount,0.25,netvlad,Brisbane,night,morning,1,46.00607205112465,0.0,0.019305947146925996,2383.0
eventCount,0.25,cosplace,Brisbane,night,morning,1,46.00607205112465,0.0,0.019305947146925996,2383.0
eventCount,0.1,mixvpr,Brisbane,night,morning,1,49.10859032114968,0.0,0.008241079094000616,5959.0
eventCount,0.1,megaloc,Brisbane,night,morning,1,49.10859032114968,0.0,0.008241079094000616,5959.0
eventCount,0.1,netvlad,Brisbane,night,morning,1,49.10859032114968,0.0,0.008241079094000616,5959.0
eventCount,0.1,cosplace,Brisbane,night,morning,1,49.10859032114968,0.0,0.008241079094000616,5959.0
eventCount_noPolarity,1.0,mixvpr,Brisbane,night,morning,1,43.3079773071222,0.0,0.07278651648255832,595.0
eventCount_noPolarity,1.0,megaloc,Brisbane,night,morning,1,43.3079773071222,0.0,0.07278651648255832,595.0
eventCount_noPolarity,1.0,netvlad,Brisbane,night,morning,1,43.3079773071222,0.0,0.07278651648255832,595.0
