reconstruction,time_res,ensemble_feature_extractors_s,ensemble_feature_extractors_ms
e2vid,0.1,0.0555112924395155,55.5112924395155
e2vid,0.25,0.0638432705518416,63.84327055184159
e2vid,0.5,0.0772344254291124,77.23442542911239
e2vid,1.0,0.1816961927526951,181.6961927526951
eventCount,0.1,0.04924107909400059,49.24107909400059
eventCount,0.25,0.060305947146925894,60.305947146925895
eventCount,0.5,0.07952441100251958,79.52441100251959
eventCount,1.0,0.1243563072822142,124.35630728221419
eventCount_noPolarity,0.1,0.048540688641379594,48.540688641379596
eventCount_noPolarity,0.25,0.059457093560697595,59.457093560697594
eventCount_noPolarity,0.5,0.07753567596135369,77.53567596135369
eventCount_noPolarity,1.0,0.11378651648255829,113.78651648255828
timeSurface,0.1,0.048445074899298994,48.445074899298994
timeSurface,0.25,0.056304651127974094,56.3046511279741
timeSurface,0.5,0.0671560006447974,67.1560006447974
timeSurface,1.0,0.091183078270609,91.18307827060899
