grid_or_nest,patch_num_cols,patch_num_rows,nest_scale_factor,num_patches,mean_recall,std_recall,min_recall,max_recall,median_recall,mean_auc,std_auc,min_auc,max_auc,median_auc,num_pairs,job_lock
grid,1.0,1.0,,,0.8089147680276714,0.1635937099941346,0.1290322580645161,1.0,0.8284457478005866,0.6804675039281568,0.2119133267301147,0.0109666256040765,0.9666666666666668,0.6844442604042766,80.0,
grid,1.0,2.0,,,0.8023554402586661,0.1872156836697725,0.1612903225806451,1.0,0.8636363636363636,0.6643205985700043,0.2414200726011298,0.0195682329239591,0.9772727272727272,0.7283737475199796,80.0,
grid,1.0,3.0,,,0.8216025641025642,0.1477324657432897,0.3225806451612903,1.0,0.8636363636363636,0.6825714084938208,0.2102414674090578,0.1195535226999847,0.9772727272727272,0.7196226381860001,80.0,
grid,1.0,4.0,,,0.8258553274682306,0.1389878738677882,0.3870967741935484,1.0,0.8636363636363636,0.6844424707216612,0.2024762937837236,0.1983849806885879,0.9615384615384616,0.7327315984278411,80.0,
grid,1.0,5.0,,,0.8235826001955034,0.1103516602121558,0.4516129032258064,1.0,0.8461538461538461,0.6804326104114519,0.1582155238301881,0.1883038319739927,0.9333333333333332,0.6884000430176197,60.0,
grid,1.0,6.0,,,0.8134298318169287,0.124647586816932,0.4193548387096774,1.0,0.8181818181818182,0.6667469895537111,0.1874566338519128,0.146029343111467,0.9666666666666668,0.6769123711974012,60.0,
grid,1.0,7.0,,,0.8263651402361081,0.1254559826523212,0.3548387096774194,1.0,0.8461538461538461,0.6860811266064065,0.1780383599447431,0.1337782115824123,0.9666666666666668,0.680949161798363,60.0,
grid,1.0,8.0,,,0.7884154197057422,0.126197905107505,0.3870967741935484,1.0,0.7870967741935484,0.6305236193987857,0.1784807810099671,0.1228577813231909,0.9333333333333332,0.6375957414032632,60.0,
grid,1.0,9.0,,,0.8152889941599619,0.1224922936707405,0.3870967741935484,1.0,0.8181818181818182,0.6665198471032596,0.1690919242010241,0.1411393272389562,0.9772727272727272,0.6595352491857206,60.0,
grid,2.0,1.0,,,0.8225900443642379,0.1438694013425363,0.2258064516129032,1.0,0.8636363636363636,0.6961036461908399,0.1940719929249486,0.0579313638612715,0.9615384615384616,0.7288114666969788,80.0,
grid,2.0,2.0,,,0.8241014361982103,0.1610543371955692,0.2580645161290322,1.0,0.8636363636363636,0.7003041869965307,0.2254731601508555,0.0636951672070169,0.9772727272727272,0.7553234901883932,80.0,
grid,2.0,3.0,,,0.8302825400406046,0.1381353134472472,0.4193548387096774,1.0,0.8636363636363636,0.7112680539412561,0.1986299828070473,0.1544476507313197,0.9666666666666666,0.7619252017837179,80.0,
grid,2.0,4.0,,,0.8424894102313457,0.129961731714894,0.3870967741935484,1.0,0.8636363636363636,0.7316266023731456,0.1864179596654358,0.1817072877064278,0.9666666666666668,0.7534068495606958,60.0,
grid,2.0,5.0,,,0.8339736070381232,0.1448056655146943,0.3225806451612903,1.0,0.8636363636363636,0.7107590912038046,0.206218532241793,0.0935451387783256,0.9772727272727272,0.7679112824121443,60.0,
grid,2.0,6.0,,,0.8424669774669776,0.1299718323818063,0.2580645161290322,1.0,0.8636363636363636,0.7219608501818882,0.1849634351624535,0.1211703527520385,0.9666666666666666,0.7774336346271764,60.0,
grid,2.0,7.0,,,0.8345760332857107,0.1117089412056371,0.3225806451612903,1.0,0.8548951048951049,0.7145899161972581,0.1587591692805101,0.1241398295514718,0.9772727272727272,0.7425262523814803,60.0,
grid,2.0,8.0,,,0.8159522019199439,0.1027021066446821,0.4193548387096774,1.0,0.8181818181818182,0.6791683567022696,0.1612937349291989,0.1555962858790588,0.9545454545454544,0.6980422305826892,60.0,
grid,2.0,9.0,,,0.8453359901747,0.1120236375207812,0.4193548387096774,1.0,0.8636363636363636,0.7145045036670673,0.1693674542132844,0.1899483791524664,0.9615384615384616,0.7522160963333036,60.0,
grid,3.0,1.0,,,0.8184692458079554,0.1247712562299768,0.4666666666666667,1.0,0.8181818181818182,0.6830458782360606,0.182009486234598,0.2246978021978022,0.9666666666666666,0.6953922427891609,80.0,
grid,3.0,2.0,,,0.8265153394992104,0.1448339785766281,0.3548387096774194,1.0,0.8636363636363636,0.6907989210271662,0.2064751914724583,0.1017547523330939,0.9772727272727272,0.7232163355298733,80.0,
grid,3.0,5.0,,,0.8551223149610246,0.1163500964679304,0.5806451612903226,1.0,0.9090909090909092,0.7279621189751252,0.1832698579779703,0.269025153597875,0.9772727272727272,0.8111120623091139,60.0,
grid,3.0,6.0,,,0.8555131964809384,0.1240369166643148,0.3548387096774194,1.0,0.8878787878787879,0.7298372340876013,0.18589673310077,0.1395681096890541,0.9666666666666668,0.7945545081519692,60.0,
grid,3.0,7.0,,,0.8449795723989272,0.1041163835549742,0.4193548387096774,1.0,0.8666666666666667,0.7112093822463424,0.1588390354488319,0.1695068555918698,0.9333333333333332,0.7779700693455525,60.0,
